"name","reviewCount","rating","published","title","content"
"Christina Bruus",8,55,2022-09-15,"Home Vejen får 5 stjerner herfra","Home Vejen får 5 stjerner herfra. De fortjener faktisk mere end 5 stjerner <U+0001F604> Tillid, nærværende, engageret og meget professionelle lige fra aftalens indgåelse. Home Vejen overtog salget af min bolig fra anden mægler og jeg har oplevet en kæmpe positiv forskel ved at skifte til Home Vejen. Tusind tak for god oplevelse. Tusind tak fordi I har solgt mit hus. Tusind tak for godt og professionelt samarbejde."
"Irmgard Tøttrup",2,55,2022-12-14,"Mit hus solgt hurtigt med gode dialoger med Home.","Jeg har solgt min bolig med hjælp fra Home Randers.Jeg er fuldt ud tilfreds med hele forløbet."
"K. Conrad",1,55,2022-10-05,"Home Hobro • Solgt på 4 DAGE!!","Vi er dybt imponerede over Home Hobro’s engagement, passion og effektivitet. Kanon samarbejde fra første møde. Så rare og professionelle medarbejdere - og at huset blev solgt efter kun 4 dage (overtaget fra anden mægler) er jo bare for VILDT!!! Vil anbefale Home Hobro til enhver."
"Irenenie Nielsen",1,55,2022-09-26,"Faglig, kompetent, troværdig","Home Nexø har solgt vores hus. Home Nexø arbejder sagligt og kompetent. Gennem hele processen havde jeg fornemmelsen af, at Home var der for mig. De var meget tilgængelige, og alle på kontoret stod imødekommende til rådighed, når der var ting, jeg havde behov for at drøfte undervejs. Meget behageligt samarbejde."
"Kristina Wirenfeldt",6,55,2022-10-04,"Home Middelfart","Vi har haft Home Middelfart til at sælge vores hus og det er gået over alt forventning.Vi frygtede at der ville gå lang tid, før vores hus blev solgt pga den lille målgruppe, men det skal vi da love for at Home Middelfart fik rettet op på.. allerede en uge efter annoncering, kom der 2 fremvisninger, kort tid efter kom der 2 bud og nu er købsaftalen skrevet under! Solgt til udbudsprisen. Ikke engang en måned har det været til salg. Det er fantastisk! Stor ros til Home Middelfart for deres venlighed, hurtighed og service! Stor anbefaling herfra!"
"Søren Kjærager",12,15,2022-11-25,"Man kan desværre ikke give nul stjerner…","Man kan desværre ikke give nul stjerner i denne anbefaling Jeg har aldrig oplevet noget så amatøragtigt i en hushandel som jeg har gjort med Home VejlevejHome giver udtryk for at have styr på boliglovgivningen, når man sælger ejendomme, hvor der er lejer til stede i ejendommen. Home fortæller, at man kan godt kan sælge en ejendom med en lejer til private personer, som så kan opsige lejeren med et års opsigelse også selv flytte ind. DET KAN MAN IKKE I FLG LEJELOVEN. Man kan kun sælge til en invester med en lejer i boligen. Home ringer først tilbage dagen eller dagen dagen efter, når jeg har haft ringet. Deres Myhome virker heller ikke optimalt. Home fortalte mig; at huset kunne sælges på 3-til 4 mdr Der gik 8 mdr og jeg fik kun 10 % af det provenuer af det Home lage ud med Efter den behandling jeg har oplevet med Home Vejlevej  i Horsens vil jeg aldrig nogen sinde handle med Home og kan på ingen måde anbefale dem"
"Janne Juncker Lind",1,55,2022-10-07,"Fantastisk kundeoplevelse","En helt igennem professionel og meget serviceminded behandling fra første opringning. En utrolig, ja nok også lidt mere end forventeligt, service, som gjorde at vi trods en hurtig indskydelse, nu sidder med vores drømmehus. Stor tak til Jeppe Brodersen, Home/Ringe<U+0001F642>"
"Kim lundgren",1,55,2022-09-22,"Tak til Home for salg af  mit hus","Tak til Home for salg af  mit hus. Vi fik en god vejledning undervejs på trods af lidt start issues, men alt i alt et ret godt forløb. Frederik og Kasper har været gode til at give os feedback på fremvisningerne, og tydeligvis også ret gode til at sælge varen. Kan varmt anbefale dem :)"
"ibjh",12,55,2022-08-30,"Efter et vellykket salg med indbygget…","Efter et vellykket salg med indbygget kort tidshorisont hos Home Espergærde/Humlebæk, vil jeg fremhæve Mark Østergaard Langhoff, som med sin dedikerede,  engagerede og unikke tilgang sørgede for et drømmesalg, hvor alt gik op i en højere enhed. Jeg stod i Irma, forberedt på et længere sagsforløb, da tlf ringer og Mark lakonisk siger, at mit hus er solgt til prisen!Tusinde tak!"
"Peter Munniche",5,55,2022-09-03,"Home Kolding Å Park","Vi er ikke lokale men blev anbefalet Home Kolding Å Park. Det har været en helt fantastisk langdistance oplevelse og samarbejde. Home Kolding Å Park er både professionelle og enormt sympatiske mennesker.Tusind tak for hjælpen til alle hos Home Kolding Å Park for at hjælpe min familie med at løse vores behov.Bedste anbefalinger / Peter Munniche."
"Lis Klarskov Jensen ",8,55,2022-09-05,"En positiv oplevelse","Lige fra starten var alt som det skal være , alle dokumenter var i orden og vi fik straks svar på vores spørgsmål. Der blev straks givet tilbagemelding efter endt fremvisning. Samtlige personer der var involveret var behagelige og kompetente. Alt i alt en positiv oplevelse som jeg kan anbefale til andre. Det drejer sig om Home Lyngvej 94 . 4560 Vig"
"Anne Dyhr",16,55,2022-08-26,"En meget stor ""TAK"" til ejendomsmægler…","En meget stor ""TAK"" til ejendomsmægler Home i Munkebo/ Kerteminde."" I er virkelig proffesionelle ""Vi har løbende modtaget mail og opringninger undervejs i vores sommerhussalg, så vi har på alle måder været trygge og har haft tillid  og respekt , samt en god kommunikation.Vi vil varmt anbefale Dem til Hussalg ..Derfor for De vores bedste anbefalinger og varme hilsner fra Familien Dyhr.."
"Caroline Danielsen",2,55,2022-09-02,"Hurtigt salg!","Hurtigt salg!Ikke andet end ros herfra. home Aarhus City - bolig, projektsalg og udlejning har gjort et virkelig godt stykke arbejde med at sælge min bolig. Som førstegangssælger var de klar til at svare på alle mine spørgsmål, og guidede mig godt igennem hele processen! Det kan helt sikkert anbefales at bruge dem som ejendomsmæglere!"
"Ulla Holze",1,55,2022-11-18,"Har en rigtig positiv melding om Home i…","Har en rigtig positiv melding om Home i Galten. De har fulgt op på alt og har vendt tilbage med besked hver gang der var nyt. Kan varmt anbefale Home i Galten"
"Jacob Jawad",1,55,2022-11-08,"Dygtigt mægler!","Hej Vi har haft en god oplevelse med sælger vores lejlighed hos home Glostrup - Albertslund - Brøndby. søde, rare og behjælpelige medarbejder en dygtigt mægler Mille Barfoed"
